,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,10849,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19645243.0,19645243.0,False,,1,,,,2024-03-05T11:13:00.000Z,66825.83102670292,75306756643.24077,71.045,0.15850521,2.67584115,18.2103679,55.49874206,52.74546475,52.13173527,1312809689196.5183,52.2811,1403342451560.76,,2024-03-05T11:13:00.000Z,,,,,,2024-03-05 13:14:12.931722
1,1027,Ethereum,ETH,ethereum,8499,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120127131.78995213,120127131.78995213,True,,2,,,,2024-03-05T11:13:00.000Z,3724.1611120597604,31457155274.150948,73.9817,0.78145334,6.26574225,14.12964802,61.70655031,65.94987063,64.40388713,447372792715.41754,17.8179,447372792715.42,,2024-03-05T11:13:00.000Z,,,,,,2024-03-05 13:14:12.931722
2,825,Tether USDt,USDT,tether,76965,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,100044694548.97124,103800078701.87814,True,,3,,,,2024-03-05T11:12:00.000Z,1.0004715453493036,137576164507.87286,56.8811,-0.00052464,-0.03957603,0.0018021,0.08435634,-0.04791929,0.04424559,100091870159.40831,3.9864,103849025146.25,,2024-03-05T11:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-05 13:14:12.931722
3,1839,BNB,BNB,bnb,2082,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149541380.71665552,149541380.71665552,False,,4,,,,2024-03-05T11:12:00.000Z,420.42255077342895,2518515237.367375,39.7324,0.44197249,0.23241499,5.15551552,40.22668713,31.71622356,81.55908483,62870568727.076775,2.5043,62870568727.08,,2024-03-05T11:12:00.000Z,,,,,,2024-03-05 13:14:12.931722
4,5426,Solana,SOL,solana,633,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,442315365.8012569,571041423.6356901,True,,5,,,,2024-03-05T11:13:00.000Z,132.07719852402062,4703089188.94337,46.254,1.00139105,-0.00741281,18.6534126,35.76275527,32.13765337,109.8813137,58419774379.15741,2.3265,75421551474.97,,2024-03-05T11:13:00.000Z,,,,,,2024-03-05 13:14:12.931722
5,52,XRP,XRP,xrp,1239,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54664031281.0,99987852435.0,False,,6,,,,2024-03-05T11:13:00.000Z,0.6457446121471324,4099149466.9486947,70.7563,0.22818331,-0.38808813,15.53086142,25.95250068,13.31399024,3.41266588,35299003677.94806,1.4059,64574461214.71,,2024-03-05T11:13:00.000Z,,,,,,2024-03-05 13:14:12.931722
6,3408,USDC,USDC,usd-coin,17025,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28912802340.440247,28912802340.440247,False,,7,,,,2024-03-05T11:13:00.000Z,0.9999132614714947,12240936507.236897,66.6953,-0.01511099,-0.02243213,-0.00213103,-0.01307665,-0.00096099,-0.0124414,28910294486.510273,1.1513,28910294486.51,,2024-03-05T11:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-05 13:14:12.931722
7,2010,Cardano,ADA,cardano,1088,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35489305908.75,36671429496.447,False,,8,,,,2024-03-05T11:12:00.000Z,0.7743959493091584,1420131102.5620441,9.2252,-0.32059385,-0.41006959,24.36683869,53.26814641,41.57558476,80.82324686,27482774739.529583,1.0946,34847817718.91,,2024-03-05T11:12:00.000Z,,,,,,2024-03-05 13:14:12.931722
8,74,Dogecoin,DOGE,dogecoin,905,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143339796383.70526,143339796383.70526,True,,9,,,,2024-03-05T11:13:00.000Z,0.18357111825364877,7893764620.636185,55.056,0.19184658,13.68920089,92.47289918,133.09679256,121.49748466,81.61463446,26313046712.407097,1.0479,26313046712.41,,2024-03-05T11:13:00.000Z,,,,,,2024-03-05 13:14:12.931722
9,5994,Shiba Inu,SHIB,shiba-inu,752,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,10,,,,2024-03-05T11:12:00.000Z,4.077637970461875e-05,13825603749.032732,231.8257,2.27882601,56.00857228,291.41006856,351.59991157,317.43244356,295.22117635,24029088771.209354,0.9571,24039065759.58,,2024-03-05T11:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-03-05 13:14:12.931722
10,5805,Avalanche,AVAX,avalanche,677,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,377259513.3511436,435949153.3511436,False,,11,,,,2024-03-05T11:12:00.000Z,43.07451145050593,918092247.6877296,65.0691,-0.37368336,-0.2540256,8.8412393,20.85032883,16.95849436,67.7063947,16250269227.65613,0.6472,31013648244.36,,2024-03-05T11:12:00.000Z,,,,,,2024-03-05 13:14:12.931722
11,6636,Polkadot,DOT,polkadot-new,699,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1285984702.5347488,1418245204.2431004,True,,12,,,,2024-03-05T11:12:00.000Z,10.60159750670874,1041991785.192838,35.7524,0.15791489,7.15200277,30.38825198,56.34520645,40.6803266,79.44072148,13633492216.057974,0.5431,15035664821.21,,2024-03-05T11:12:00.000Z,,,,,,2024-03-05 13:14:12.931722
